appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
1283700,SUPERVIVE,573,ae2fdcb6c6a904c8190895247b1a52a710b8ad18,,,,,User4,9.6,0.0,573.0,0.0,0.0,0.0,1749593757.0,0.0,SUPERVIVE,game,"['Action', 'Free To Play', 'Early Access']","['Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']","20 Nov, 2024",Theorycraft Games,"Theorycraft Games, NetEase Games",SUPERVIVE,,,
1158310,Crusader Kings III,5369,8a0d88dfaff790ea1aa2b9fcf50d4e3b4f49cf56,True,"[1, 5]",,,User4,89.5,0.07738095238095238,5369.0,0.0,0.0,0.0,1743892762.0,0.0,Crusader Kings III,game,"['RPG', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","Sep 1, 2020",Paradox Development Studio,Paradox Interactive,Crusader Kings III,71.91,157.08,585.79
1398210,Selene ~Apoptosis~,0,986d5bdd04098c1abce5d4259d0e7ef3bad1dc2f,True,"[1, 3, 4, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
1426210,It Takes Two,376,6b15f6d81c4fc52056f4928b363b7fac591a945b,True,,,,User4,6.3,0.15,376.0,0.0,0.0,0.0,1730577672.0,0.0,It Takes Two,game,"['Action', 'Adventure']","['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Remote Play Together']","25 Mar, 2021",Hazelight Studios,Electronic Arts,It Takes Two,12.69,14.19,16.25
1235140,Yakuza: Like a Dragon,3396,2dd517dc392377291d18d89722d26f737795829d,True,"[1, 2, 5]",,,User4,56.6,0.2857142857142857,3396.0,0.0,0.0,0.0,1744570710.0,0.0,,,[''],[''],,,,,,,
1607250,MY HERO ULTRA RUMBLE,605,8aa264968affcf28f31ad39362bd00a16d8c5039,True,,,,User4,10.1,0.13333333333333333,605.0,0.0,0.0,0.0,1701974800.0,0.0,MY HERO ULTRA RUMBLE,game,"['Action', 'Casual', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']","28 Sep, 2023",Byking Inc.,Bandai Namco Entertainment,MY HERO ULTRA RUMBLE,,,
1847520,HITMAN 3 Free Starter Pack,0,bacacfce00de8fd9e38647317d9aa70e31bff6df,,"[2, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
2139460,Once Human,1457,e1c29227c162232120c15edcf282df61ee35f091,,,,,User4,24.3,0.0,1457.0,0.0,0.0,0.0,1724606561.0,0.0,Once Human,game,"['Action', 'Adventure', 'RPG', 'Simulation', 'Strategy', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","9 Jul, 2024",Starry Studio,Starry Studio,Once Human,30.0,76.74,177.38
2141910,Magic: The Gathering Arena,0,7d47257d34e74c04121cbdffd23af8eaa2914a85,,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
1222670,The Sims™ 4,0,ca6bc8b2411bce4a2cd325ab75f0204bc3a4ad98,,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Sims™ 4,game,"['Adventure', 'Casual', 'Simulation', 'Free To Play']","['Single-player', 'Steam Trading Cards', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Remote Play on Tablet']","18 Jun, 2020",Maxis,Electronic Arts,The Sims™ 4,,,
